Stream,fish_density,acre,do2,depth,no3,so4,temp
BLUE_LICK_RUN,0.01,2217,8.5,46,1.2,10.85,14.3
HAWLINGS_R,0.01,1172,8.3,73,2.62,4.64,20.5
HERRINGTON_RUN,0.01,7056,6.4,60,0.25,9.82,24.5
BENNETT_CR,0.03,583,9.2,51,2.26,8.81,12.9
SOUTH_BR_CASSELMAN_R,0.03,6311,7.6,46,0.64,21.16,18.5
LITTLE_GUNPOWDER_R,0.04,15305,9.7,85,2.6,6.96,17.5
ROCK_CR,0.04,575,6.8,33,2.47,7.61,18
DEEP_RUN,0.07,1175,7.7,57,1.3,21.68,21.8
HAY_MEADOW_BR,0.07,639,9.5,26,3.53,4.46,20.1
LITTLE_BEAR_CR,0.08,3330,9.1,67,0.81,8.16,14.9
MILL_CR,0.08,1097,8.3,53,1.71,15.77,13.1
NORTHWEST_BR,0.08,8735,8.2,63,1.56,13.22,20.8
DORSEY_RUN,0.11,7814,6.8,160,0.44,20.24,22.6
MUDLICK_RUN,0.11,1507,7.4,51,0.84,16.3,21
FISHING_CR,0.15,5046,7.6,109,0.73,7.1,19
FLINTSTONE_CR,0.15,18943,9.2,50,0.25,14.21,18.5
BEAR_BR,0.16,3333,8.5,83,5.34,7.74,19.4
LIBERTY_RES,0.16,424,8.3,62,3.49,5.82,20.2
BASIN_RUN,0.17,2528,9.6,80,2.28,16.75,15.3
FALLS_RUN,0.2,1745,9.4,48,2.19,10.27,14.3
LITTLE_CONOCOCHEAGUE_CR,0.2,2227,6.8,54,0.33,7.6,24
BUFFALO_RUN,0.21,12620,8.3,37,0.61,18.87,16.8
NORTH_BR_CASSELMAN_R,0.21,17419,7.4,48,0.29,2.5,18
BIG_PIPE_CR,0.24,25440,7.5,120,3.53,8.2,13.7
COLLIER_RUN,0.24,6298,8.6,42,0.26,17.63,18.2
LITTLE_HUNTING_CR,0.24,7121,9.5,58,0.51,7.41,16
PINEY_CR,0.24,6949,9.3,100,4.57,17.84,18.6
BEAVER_DAM_CR,0.25,3570,9.2,56,5.44,16.53,17
PRETTYBOY_BR,0.25,904,9.8,39,6.81,9.2,19.2
WATTS_BR,0.25,510,6.7,82,5.25,14.19,26.5
SOUTH_FORK_LINGANORE_CR,0.27,4106,10,96,2.62,5.45,15.4
CABIN_JOHN_CR,0.28,8612,8.2,103,1.57,16.09,15
GUNPOWDER_FALLS,0.29,12659,9.7,65,3.3,5.98,18
CARROLL_BR,0.31,3896,10.4,105,2.77,12.79,18.4
NORTH_BR,0.31,3836,8.3,121,1.32,7.36,18.5
SENECA_CR,0.31,18422,9.9,45,1.58,8.37,20.1
LITTLE_ANTIETAM_CR,0.32,3488,9.3,44,2.11,13.37,24
DEAD_RUN,0.33,4145,8.7,51,0.34,44.93,23
MUDDY_BR,0.33,4266,8.9,68,2.05,12.77,17
DEER_CR,0.35,8297,9.9,60,5.26,6.36,19.1
SOUTH_BR_PATAPSCO,0.35,1450,7.9,60,2.96,8.84,18.6
PATAPSCO_R,0.37,4706,8.9,61,4.06,9.9,19.7
ISRAEL_CR,0.4,6260,9.5,133,2.41,13.77,21
BUSH_CR,0.43,19046,8.3,120,2.93,11.31,18
RED_RUN,0.43,3332,8.4,73,2.09,5.5,17.7
GREENE_BR,0.44,2225,9.1,41,2.3,9.72,20.5
PINEY_RUN,0.48,11405,9.2,70,2.17,10.17,23.6
BEAVER_RUN,0.49,1722,8.1,43,5.66,5.91,19.3
HOLLANDS_BR,0.51,1934,10.5,85,2.34,11.44,12
LITTLE_DEER_CR,0.51,8115,9.6,110,3.4,9.22,20.5
TUSCARORA_CR,0.51,10274,9.3,90,5.45,24.76,15
PINEY_BR,0.64,4011,8.3,52,4.7,5.38,18.9
BROAD_RUN,0.71,1971,11.9,56,3.25,11.12,22.2
BEAR_CR,0.72,19611,8.3,96,0.99,10.92,19.5
SECOND_MINE_BR,0.83,2511,10.2,60,4.17,10.75,17.7
LITTLE_PAINT_BR,0.84,5794,9.4,34,1.19,12.27,17.5
BIG_BR,0.96,4790,9.4,91,4.1,5.65,16.7
MORGAN_RUN,1.01,9765,9.3,130,4.38,5.74,16.9
